,elbow,silh,dbi,ch
1,272444.2663625013,,,
2,239252.21600192375,0.1354846440993559,2.4632437530868883,5108.133804143224
3,221535.9464943942,0.11072418589753143,2.2108662607647367,4230.451262834124
4,212333.17554950554,0.09882465796304477,2.181702086993224,3474.36935726348
5,203195.15506884796,0.1040320286872132,2.4037959118723657,3136.8188814138507
6,171555.77863988167,0.11346650645120358,2.0110351063226566,4330.151235271933
7,167226.0975210073,0.10779566252517331,2.0997262783063957,3860.649195619959
8,155332.29247798037,0.12330023638236538,2.0036303336147774,3965.104506150995
9,149593.27659894567,0.11874636434567644,1.9514461938006455,3779.0079783217648
10,146811.57995806047,0.11092653990909652,2.038247797564747,3500.1708033909727
11,144240.5178643696,0.10949614641867896,2.0702455742361323,3271.832957720141
12,142620.909113504,0.10647754304447951,2.1043975774612034,3046.091478326466
13,140622.5718244862,0.07868223872979006,2.1882306114550163,2875.4422495240974
14,138883.57796215633,0.0804131023863298,2.225528164760638,2722.8684466827244
15,136311.05379039733,0.08591060887629559,2.128442592235534,2625.641656910193
